1.78987279e-02 -4.50428166e-03 4.44015265e+02 7.60897479e-02 1.24886684e+00 1.59975313e-04 1.78987279e-02 -4.50428166e-03 4.44015265e+02 7.60897479e-02 1.24886684e+00 1.59975313e-04
1.78640973e-02 -4.53949841e-03 4.44015266e+02 7.61427101e-02 1.24889789e+00 1.59850824e-04 1.78640973e-02 -4.53949841e-03 4.44015266e+02 7.61427101e-02 1.24889789e+00 1.59850824e-04
1.78294668e-02 -4.57471516e-03 4.44015267e+02 7.61956724e-02 1.24892893e+00 1.59726335e-04 1.78294668e-02 -4.57471516e-03 4.44015267e+02 7.61956724e-02 1.24892893e+00 1.59726335e-04
1.77948363e-02 -4.60993190e-03 4.44015268e+02 7.62486346e-02 1.24895998e+00 1.59601846e-04 1.77948363e-02 -4.60993190e-03 4.44015268e+02 7.62486346e-02 1.24895998e+00 1.59601846e-04
1.77602058e-02 -4.64514865e-03 4.44015268e+02 7.63015968e-02 1.24899103e+00 1.59477357e-04 1.77602058e-02 -4.64514865e-03 4.44015268e+02 7.63015968e-02 1.24899103e+00 1.59477357e-04
1.77258185e-02 -4.77312591e-03 4.44015269e+02 7.64359006e-02 1.24902147e+00 1.59777359e-04 1.77258185e-02 -4.77312591e-03 4.44015269e+02 7.64359006e-02 1.24902147e+00 1.59777359e-04
1.76914311e-02 -4.90110316e-03 4.44015270e+02 7.65702043e-02 1.24905192e+00 1.60077361e-04 1.76914311e-02 -4.90110316e-03 4.44015270e+02 7.65702043e-02 1.24905192e+00 1.60077361e-04
1.76570438e-02 -5.02908042e-03 4.44015271e+02 7.67045081e-02 1.24908236e+00 1.60377362e-04 1.76570438e-02 -5.02908042e-03 4.44015271e+02 7.67045081e-02 1.24908236e+00 1.60377362e-04
1.76226564e-02 -5.15705767e-03 4.44015272e+02 7.68388118e-02 1.24911281e+00 1.60677364e-04 1.76226564e-02 -5.15705767e-03 4.44015272e+02 7.68388118e-02 1.24911281e+00 1.60677364e-04
1.75882691e-02 -5.28503492e-03 4.44015273e+02 7.69731156e-02 1.24914326e+00 1.60977366e-04 1.75882691e-02 -5.28503492e-03 4.44015273e+02 7.69731156e-02 1.24914326e+00 1.60977366e-04
1.75542447e-02 -5.57602112e-03 4.44015274e+02 7.72509703e-02 1.24917307e+00 1.62136584e-04 1.75542447e-02 -5.57602112e-03 4.44015274e+02 7.72509703e-02 1.24917307e+00 1.62136584e-04
1.75202203e-02 -5.86700731e-03 4.44015275e+02 7.75288251e-02 1.24920288e+00 1.63295802e-04 1.75202203e-02 -5.86700731e-03 4.44015275e+02 7.75288251e-02 1.24920288e+00 1.63295802e-04
1.74861959e-02 -6.15799351e-03 4.44015276e+02 7.78066799e-02 1.24923269e+00 1.64455020e-04 1.74861959e-02 -6.15799351e-03 4.44015276e+02 7.78066799e-02 1.24923269e+00 1.64455020e-04
1.74521715e-02 -6.44897970e-03 4.44015277e+02 7.80845347e-02 1.24926250e+00 1.65614237e-04 1.74521715e-02 -6.44897970e-03 4.44015277e+02 7.80845347e-02 1.24926250e+00 1.65614237e-04
1.74181471e-02 -6.73996590e-03 4.44015278e+02 7.83623895e-02 1.24929231e+00 1.66773455e-04 1.74181471e-02 -6.73996590e-03 4.44015278e+02 7.83623895e-02 1.24929231e+00 1.66773455e-04
1.73846294e-02 -7.25702851e-03 4.44015279e+02 7.88398755e-02 1.24932145e+00 1.69256527e-04 1.73846294e-02 -7.25702851e-03 4.44015279e+02 7.88398755e-02 1.24932145e+00 1.69256527e-04
1.73511118e-02 -7.77409113e-03 4.44015281e+02 7.93173614e-02 1.24935058e+00 1.71739598e-04 1.73511118e-02 -7.77409113e-03 4.44015281e+02 7.93173614e-02 1.24935058e+00 1.71739598e-04
1.73175941e-02 -8.29115374e-03 4.44015282e+02 7.97948474e-02 1.24937971e+00 1.74222669e-04 1.73175941e-02 -8.29115374e-03 4.44015282e+02 7.97948474e-02 1.24937971e+00 1.74222669e-04
1.72840765e-02 -8.80821636e-03 4.44015284e+02 8.02723334e-02 1.24940885e+00 1.76705740e-04 1.72840765e-02 -8.80821636e-03 4.44015284e+02 8.02723334e-02 1.24940885e+00 1.76705740e-04
1.72505588e-02 -9.32527897e-03 4.44015285e+02 8.07498194e-02 1.24943798e+00 1.79188811e-04 1.72505588e-02 -9.32527897e-03 4.44015285e+02 8.07498194e-02 1.24943798e+00 1.79188811e-04
1.72176765e-02 -1.01017331e-02 4.44015287e+02 8.14568644e-02 1.24946640e+00 1.83347194e-04 1.72176765e-02 -1.01017331e-02 4.44015287e+02 8.14568644e-02 1.24946640e+00 1.83347194e-04
1.71847943e-02 -1.08781872e-02 4.44015289e+02 8.21639094e-02 1.24949481e+00 1.87505577e-04 1.71847943e-02 -1.08781872e-02 4.44015289e+02 8.21639094e-02 1.24949481e+00 1.87505577e-04
1.71519120e-02 -1.16546413e-02 4.44015291e+02 8.28709543e-02 1.24952323e+00 1.91663961e-04 1.71519120e-02 -1.16546413e-02 4.44015291e+02 8.28709543e-02 1.24952323e+00 1.91663961e-04
1.71190297e-02 -1.24310954e-02 4.44015293e+02 8.35779993e-02 1.24955165e+00 1.95822344e-04 1.71190297e-02 -1.24310954e-02 4.44015293e+02 8.35779993e-02 1.24955165e+00 1.95822344e-04
1.70861474e-02 -1.32075496e-02 4.44015295e+02 8.42850443e-02 1.24958007e+00 1.99980727e-04 1.70861474e-02 -1.32075496e-02 4.44015295e+02 8.42850443e-02 1.24958007e+00 1.99980727e-04
